"IUCN","below0","below10","below50","below100","over100","npops"
"CE","3","0","4","2","0","9"
"E","35","4","36","9","0","84"
"LC","3","1","3","11","11","29"
"NT","0","0","33","6","0","39"
"V","42","5","3","6","2","58"
